trial_id,sim_hours,availability,shard_availability_mean,data_loss_events,data_loss_rate_per_shard_year,quorum_availability,mean_response_ms,p50_response_ms,p95_response_ms,p99_response_ms,slo_fraction,mean_queue_wait_ms,n_requests,n_disasters_campus_a,n_disasters_campus_b,n_cloud_outages,downtime_hours
0,17520.0,1.0,1.0,0,0.0,1.0,48.83510486832692,33.612890721431306,145.51734850206407,224.47502479214293,0.9828559903186769,0.0,4958,0,1,0,0.0
1,17520.0,1.0,1.0,0,0.0,0.9998699576917389,50.20999358842915,34.464571359750636,154.21832841941875,244.77961274290988,0.9796,0.0,5000,0,0,0,0.0
2,17520.0,1.0,1.0,0,0.0,1.0,50.308757121515725,34.91703551161906,150.72901081498404,240.70783642614597,0.9796,0.0,5000,0,1,0,0.0
3,17520.0,1.0,1.0,0,0.0,1.0,50.04181601859105,35.24390970782015,148.61127378527547,232.67207359419442,0.9840621168778095,0.0,4894,0,0,0,0.0
4,17520.0,1.0,1.0,0,0.0,1.0,49.749543545546125,33.88991594878239,147.84713669415234,231.13412977609343,0.9836,0.0,5000,0,0,0,0.0
5,17520.0,1.0,1.0,0,0.0,1.0,49.384728681119206,34.187666696974574,147.4645976845277,223.22238655612244,0.9834,0.0,5000,0,0,0,0.0
6,17520.0,1.0,1.0,0,0.0,1.0,49.27746812033413,33.83096430926723,150.43189537419428,221.8368669741431,0.9842,0.0,5000,0,1,0,0.0
7,17520.0,1.0,1.0,0,0.0,0.9999936156621662,49.61484756917103,33.812395778156386,149.39780996807878,227.36981093272098,0.981503819863289,0.0,4974,0,0,0,0.0
8,17520.0,1.0,1.0,0,0.0,1.0,49.727458868570835,34.56381581149887,148.25793104235217,219.847711030107,0.9851643945469126,0.0,4988,1,0,0,0.0
9,17520.0,1.0,1.0,0,0.0,1.0,50.042096529700764,35.2860944994126,149.28444057245744,227.58530926462313,0.9806,0.0,5000,0,0,0,0.0
10,17520.0,1.0,1.0,0,0.0,1.0,49.856354509318344,34.906263801212425,149.4054944819601,219.7778206884987,0.9844,0.0,5000,0,1,0,0.0
11,17520.0,1.0,1.0,0,0.0,1.0,49.141970270480606,34.07892459228251,146.5773210045922,223.4532430254015,0.9839679358717435,0.0,4990,0,0,0,0.0
12,17520.0,1.0,1.0,0,0.0,1.0,50.30977540690533,34.52673919401782,150.16774556970554,228.5452855353693,0.9823878763055499,0.0,4883,0,0,0,0.0
13,17520.0,1.0,1.0,0,0.0,1.0,49.6804449810414,34.257804098014326,150.39867486067314,220.73383095003442,0.9836,0.0,5000,0,0,0,0.0
14,17520.0,1.0,1.0,0,0.0,1.0,48.48227935456668,33.301398589946544,144.876070167389,218.84866830838791,0.9845559845559846,0.0,4921,0,0,0,0.0
15,17520.0,1.0,1.0,0,0.0,1.0,49.00720880494643,34.750417703600135,146.17712471564533,222.29529700550594,0.9843937575030012,0.0,4998,0,0,0,0.0
16,17520.0,1.0,1.0,0,0.0,1.0,51.677149291320276,35.584530739886205,155.28043183431078,237.19372021328462,0.9781344032096289,0.0,4985,0,1,0,0.0
17,17520.0,1.0,1.0,0,0.0,1.0,49.44651497723766,33.78994140096536,149.43137710778282,246.5150771772108,0.9783400809716599,0.0,4940,0,0,0,0.0
18,17520.0,1.0,1.0,0,0.0,0.9999733952203692,49.9266877745743,35.08330164684332,149.9419092672994,232.68787840491905,0.9823080016083635,0.0,4974,1,1,0,0.0
19,17520.0,1.0,1.0,0,0.0,1.0,49.68574421992145,34.84645050418909,146.72115578514158,222.14251568513055,0.9845474613686535,0.0,4983,0,0,0,0.0
20,17520.0,1.0,1.0,0,0.0,1.0,50.6393993410487,35.052387909350685,152.23468895638155,231.86900869604816,0.9814,0.0,5000,0,0,0,0.0
21,17520.0,1.0,1.0,0,0.0,1.0,49.673710685295625,33.79256232662584,149.56950721746804,227.21189831160717,0.9824,0.0,5000,0,0,0,0.0
22,17520.0,1.0,1.0,0,0.0,0.9999852672304661,50.033441453376966,34.66808698719248,150.28391703483544,227.16629736815122,0.9832,0.0,5000,0,0,0,0.0
23,17520.0,1.0,1.0,0,0.0,1.0,50.77607407147419,35.363768904006925,150.35512826238397,232.45574685804183,0.9828,0.0,5000,0,0,0,0.0
24,17520.0,1.0,1.0,0,0.0,1.0,50.56396304401158,34.69712297523557,150.39064604657494,238.7195609254391,0.9792,0.0,5000,0,0,0,0.0
25,17520.0,1.0,1.0,0,0.0,1.0,51.42664294381207,35.614257582269566,156.47638414704065,234.1068492941896,0.9782,0.0,5000,0,0,0,0.0
26,17520.0,1.0,1.0,0,0.0,1.0,50.09421064289335,34.26592846941643,149.56119514395272,233.15021762192796,0.9829718224204338,0.0,4933,0,0,0,0.0
27,17520.0,1.0,1.0,0,0.0,1.0,50.46520098578418,35.12511443606154,150.7061762010367,233.79015625877864,0.980061037639878,0.0,4915,0,0,0,0.0
28,17520.0,1.0,1.0,0,0.0,1.0,49.34268415392045,34.308990671311776,147.53134694267243,232.33476519776846,0.982,0.0,5000,0,0,0,0.0
29,17520.0,1.0,1.0,0,0.0,0.9999359114868043,48.911836704216455,33.02028099248806,150.2512957668323,224.3965848700951,0.9831725836240509,0.0,4873,0,0,0,0.0
30,17520.0,1.0,1.0,0,0.0,1.0,49.68619417852934,34.3016811230563,145.81311237025298,224.38176029998505,0.983,0.0,5000,0,0,0,0.0
31,17520.0,1.0,1.0,0,0.0,1.0,49.740274890864725,34.775896618415004,150.00481254287612,231.3894046520697,0.9814,0.0,5000,0,0,0,0.0
32,17520.0,1.0,1.0,0,0.0,1.0,49.39480969375208,33.9445332034762,144.69543597129967,237.57944685982605,0.9832796132151491,0.0,4964,0,1,0,0.0
33,17520.0,1.0,1.0,0,0.0,1.0,49.756387818690925,34.66527963583891,147.93004829459863,218.98694279769552,0.9830369916206826,0.0,4893,0,0,0,0.0
34,17520.0,1.0,1.0,0,0.0,1.0,49.601986379690544,34.23679162162502,146.5155148431275,216.65671466873908,0.985,0.0,5000,0,0,0,0.0
35,17520.0,1.0,1.0,0,0.0,1.0,48.955502309165404,34.20526948110168,144.06477469551433,226.3438440709461,0.9828,0.0,5000,0,0,0,0.0
36,17520.0,1.0,1.0,0,0.0,1.0,49.57284849205407,35.109603980436056,142.28973591236598,216.29937029269794,0.986,0.0,5000,0,0,0,0.0
37,17520.0,1.0,1.0,0,0.0,1.0,51.30226119304238,36.13638955247118,152.44552884600435,233.37598121554063,0.9810204081632653,0.0,4900,0,0,0,0.0
38,17520.0,1.0,1.0,0,0.0,1.0,49.185701316591654,33.93334050950537,145.11261189152677,233.98950886191392,0.9820636839983877,0.0,4962,1,0,0,0.0
39,17520.0,1.0,1.0,0,0.0,1.0,49.55340345780481,35.135987449326215,151.288499079804,228.08308311027145,0.9808429118773946,0.0,4959,0,0,0,0.0
